Outcome,Weekend,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,10-01-22,All,0.3,0.1,0.9,3,0.3,0.4,0.3,0.6,1.3,0.7,591822,842535,1037067,2,1,9,999,999
Deaths,02-04-23,50_64,2.9,0.8,0.4,3.6,7.2,0,0,0,0,0,34169,125516,246849,1,1,1,50,64
Deaths,09-10-22,5_11,0,0,0,0,0,0,0,0,0,0,95349,82126,17689,0,0,0,5,11
Deaths,20-11-21,5_11,0,0,0,0,0,0,0,0,0,0,166798,1,0,0,0,0,5,11
Deaths,04-09-22,18_29,0,0,0,0,0,0,0,0,0,0,98229,219416,147442,0,0,0,18,29
Hospitalizations,18-09-21,1_12,0,0,0,0,0,0,0,0,0,0,71650,87028,0,0,0,0,12,17
Cases,17-09-22,5_11,123,119.8,213,1,0.6,0,0,0,0,0,95128,81802,18308,117,98,39,5,11
Hospitalizations,12-04-21,30_49,37.7,3.8,0,9.9,0,0,0,0,0,0,185523,469462,103054,70,18,0,30,49
Cases,15-05-21,30_49,171.7,14.1,0,12.2,0,0,0,0,0,0,338871,332283,0,582,47,0,30,49
Hospitalizations,21-08-21,80+,34.6,15.1,0,2.3,0,0,0,0,0,0,31765,52936,0,11,8,0,80,200
Hospitalizations,31-12-22,All,17.1,8.7,12.8,2,1.3,21.8,12.5,8.4,1.7,2.6,555407,853931,1040154,95,74,133,999,999
Hospitalizations,05-06-23,All,3.3,1.3,2.4,2.5,1.4,4.5,2.1,1.7,2.2,2.8,537432,860338,1040639,18,11,25,999,999
Deaths,24-07-21,80+,0,0,0,0,0,0,0,0,0,0,32759,52117,0,0,0,0,80,200
Cases,22-01-22,65_79,582.4,416.6,253.6,1.4,2.3,0,0,0,0,0,50480,66009,141953,294,275,360,65,79
Cases,29-05-21,All,63.9,6.8,0,9.4,0,71.4,5.9,0,12.1,0,1302037,1094752,0,832,74,0,999,999
Cases,20-08-22,50_64,422,150.5,180.5,2.8,2.3,0,0,0,0,0,40519,126270,244938,171,190,442,50,64
Hospitalizations,12-04-21,All,34.9,9.6,3.6,3.6,9.7,50.7,9.2,1.6,5.5,32.1,864337,1287028,333146,302,123,12,999,999
Deaths,22-01-22,30_49,3.3,0.6,0,5.5,0,0,0,0,0,0,149571,332274,256937,5,2,0,30,49
Cases,01-01-22,1_12,2547.5,1827.4,694.4,1.4,3.7,0,0,0,0,0,53465,108405,1872,1362,1981,13,12,17
Cases,07-01-23,All,10.5,5.5,10.5,1.9,1,12.1,5.4,8.2,2.3,1.5,532370,860333,1040733,56,47,109,999,999
Hospitalizations,06-04-22,50_64,30.4,6.8,5.1,4.5,6,0,0,0,0,0,42758,131758,237215,13,9,12,50,64
Hospitalizations,17-12-22,65_79,63.5,41.5,31.5,1.5,2,0,0,0,0,0,40932,43361,171648,26,18,54,65,79
Deaths,31-07-21,65_79,8.6,0,0,0,0,0,0,0,0,0,69459,192009,0,6,0,0,65,79
Deaths,16-10-21,1_12,0,0,0,0,0,0,0,0,0,0,65944,97454,0,0,0,0,12,17
Deaths,12-10-22,All,0.4,0.1,0.3,4,1.3,0.3,0.1,0.2,2.2,1.5,560620,851689,1039873,2,1,3,999,999
Hospitalizations,12-03-22,1_12,0,1.2,0,0,0,0,0,0,0,0,33965,86108,44513,0,1,0,12,17
Deaths,08-12-23,5_11,0,0,0,0,0,0,0,0,0,0,89770,82673,21260,0,0,0,5,11
Hospitalizations,29-01-22,30_49,25.4,11.3,3.3,2.2,7.7,0,0,0,0,0,145400,318707,273200,37,36,9,30,49
Hospitalizations,14-01-23,0_4,2.5,0,0,0,0,0,0,0,0,0,162642,0,0,4,0,0,0,4
Deaths,18-11-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,03-04-23,30_49,0,0.4,0.3,0,0,0,0,0,0,0,110600,277895,347260,0,1,1,30,49
Hospitalizations,25-06-22,All,12.7,7.3,8.8,1.7,1.4,15.4,9.1,6.2,1.7,2.5,635698,868337,988583,81,63,87,999,999
